Date,EURUSD=X,USDJPY=X,spread,velocity
2011-01-17,1.338025,82.887,-81.25825,0.02873771
2011-01-18,1.328392,82.67,-81.24687,0.02728034
2011-01-19,1.337811,82.612,-81.22805,0.02657052
2011-01-20,1.345207,82.155,-81.14081,0.03166277
2011-01-21,1.346801,82.92,-81.18102,0.02562973
2011-01-24,1.361953,82.586,-81.16602,0.02473716
2011-01-25,1.364405,82.542,-81.14691,0.02426514
2011-01-26,1.368607,82.26,-81.08683,0.02727161
2011-01-27,1.371009,82.163,-81.01812,0.03075019
2011-01-28,1.372307,82.885,-81.06873,0.02392044
2011-01-31,1.357276,82.089,-80.99632,0.02799089
2011-02-01,1.371385,82.07,-80.92655,0.03149739
2011-02-02,1.382992,81.391,-80.75767,0.04302985
2011-02-03,1.381788,81.493,-80.62118,0.05087501
2011-02-04,1.362454,81.65,-80.52651,0.0545511
2011-02-07,1.357497,82.22,-80.53245,0.04947365
2011-02-08,1.359194,82.289,-80.55218,0.04366441
2011-02-09,1.362695,82.303,-80.57539,0.03805074
2011-02-10,1.3721,82.419,-80.61626,0.03142602
2011-02-11,1.360193,83.34,-80.80089,0.01329017
2011-02-14,1.351004,83.444,-80.98978,-0.003681162
2011-02-15,1.348109,83.413,-81.15941,-0.01761073
2011-02-16,1.349856,83.716,-81.36119,-0.0330705
2011-02-17,1.357534,83.61,-81.52718,-0.04422794
2011-02-18,1.362602,83.29,-81.62655,-0.04885612
2011-02-21,1.371347,83.08,-81.68055,-0.04928843
2011-02-22,1.368232,83.066,-81.72487,-0.04887147
2011-02-23,1.367372,82.76,-81.71472,-0.04391662
2011-02-24,1.376406,82.438,-81.65068,-0.03485451
2011-02-25,1.381998,82.047,-81.52747,-0.02158667
2011-02-28,1.373438,81.622,-81.34763,-0.004679078
2011-03-01,1.382151,81.873,-81.21889,0.006520729
2011-03-02,1.377183,81.898,-81.10526,0.01551149
2011-03-03,1.386655,81.828,-80.98932,0.02394129
2011-03-04,1.395888,82.367,-80.96627,0.02386683
2011-03-07,1.399071,82.343,-80.94264,0.02384696
2011-03-08,1.396394,82.292,-80.9152,0.02414841
2011-03-09,1.389796,82.8,-80.97146,0.01739893
2011-03-10,1.390221,82.833,-81.02975,0.01104515
2011-03-11,1.380129,82.918,-81.09912,0.004295578
2011-03-14,1.393456,81.284,-80.9083,0.01995234
2011-03-15,1.399208,81.82,-80.81593,0.02603101
2011-03-16,1.398621,81.056,-80.6145,0.04075484
2011-03-17,1.388484,79.128,-80.13477,0.07760237
